logLocation,logLevel,logStackTrace,exceptionType,exceptionCategory,exceptionSource,exceptionNum,exceptionMethodCall,exceptionMethodSource,exceptionMethodNum,catchInLoop,isLogInInnerLoop,isLogInInnerBranch,isLogInInnerTryBlock,throwInCatchBlock,returnInCatchBlock,throwInTryBlock,returnInTryBlock,numMethodCallsBeforeLogging,numMethodCallsAfterLogging,LOCBeforeLogging,LOCAfterLogging,numMethodCallsInTryBlock
WeightedPolicyInfo.java:75,error,true,JAXBException,NORMAL,FROMJDK,1,JSONJAXBContext.JSONJAXBContext,FROMLIBRARY,1,false,false,false,false,false,false,false,true,0,0,0,0,0
FederationPolicyUtils.java:101,warn,false,YarnException,NORMAL,FROMPROJECT,1,FederationStateStoreFacade.getPolicyConfiguration,FROMPROJECT,1,false,false,false,false,false,false,false,false,0,0,0,0,1
FederationPolicyUtils.java:115,warn,false,YarnException,NORMAL,FROMPROJECT,1,FederationStateStoreFacade.getPolicyConfiguration,FROMPROJECT,1,false,false,false,false,false,false,false,false,0,0,0,0,1
DiskBalancerCLI.java:175,error,false,Exception,NORMAL,FROMJDK,1,ToolRunner.run,FROMPROJECT,1,false,false,false,false,false,false,false,false,0,0,0,1,1
RMCommunicator.java:177,error,true,Exception,NORMAL,FROMJDK,1,ApplicationMasterProtocol.registerApplicationMaster,FROMPROJECT,1,false,false,false,false,true,false,false,false,0,0,0,1,24
RMCommunicator.java:191,error,true,Exception,NORMAL,FROMJDK,1,RMCommunicator.doUnregistration,FROMPROJECT,1,false,false,false,false,false,false,false,false,0,1,0,4,1
RMCommunicator.java:263,warn,true,InterruptedException,NORMAL,FROMJDK,1,Thread.join,FROMJDK,1,false,false,false,false,false,false,false,false,0,0,0,0,1
RMCommunicator.java:282,error,true,RMContainerAllocationException,NORMAL,FROMPROJECT,1,RMCommunicator.heartbeat,FROMPROJECT,1,true,false,false,false,false,true,false,false,0,0,0,1,1
RMCommunicator.java:285,error,true,Exception,NORMAL,FROMJDK,1,RMCommunicator.heartbeat,FROMPROJECT,1,true,false,false,false,false,false,false,false,0,0,0,2,1
RMCommunicator.java:294,warn,false,InterruptedException,NORMAL,FROMJDK,1,Thread.sleep,FROMJDK,1,true,false,true,false,false,true,false,true,1,0,1,2,8
PrivilegedOperationExecutor.java:174,warn,false,ExitCodeException,NORMAL,FROMPROJECT,1,UnknownMethod,UnknownMethod,0,false,false,true,false,true,false,false,false,19,3,14,6,8
PrivilegedOperationExecutor.java:182,warn,true,IOException,NORMAL,FROMJDK,1,ShellCommandExecutor.execute,FROMPROJECT,1,false,false,false,false,true,false,false,false,0,0,0,1,8
StatusReportChecker.java:58,debug,false,InterruptedException,NORMAL,FROMJDK,1,Thread.sleep,FROMJDK,1,true,false,false,false,false,false,false,false,1,0,1,2,1
StatusReportChecker.java:65,warn,true,IOException,NORMAL,FROMJDK,1,NativeRuntime.reportStatus,FROMPROJECT,1,true,false,false,false,false,false,false,false,0,2,0,2,1
MountTableResolver.java:157,error,false,HadoopIllegalArgumentException,RUNTIME,FROMPROJECT,1,UnknownMethod,UnknownMethod,0,false,false,false,false,false,false,false,false,0,4,0,3,2
MountTableResolver.java:160,info,false,HadoopIllegalArgumentException,RUNTIME,FROMPROJECT,1,UnknownMethod,UnknownMethod,0,false,false,false,false,false,false,false,false,4,0,3,0,2
